اللہ	NNPC
تعالی	NNP
ہَن	PSP
تھاوِ	VM
اِنسانَس	NN
آنتھہٕ	NN
رۄستُے	RB
نیٛامٕژ	NN
آیتن	VM
یِمَن	DEM
رنگارنگ	JJ
نیٛامژَن	NN
منٛز	PSP
چُھ	VAUX
روٗحٲنی	JJ
سکوٗن	NN
حٲصِل	VM
سپدان	VM
یِمَن	DEM
نیٛامژَن	NN
بَدلہٕ	PSP
اَگَر	CC
اِنسان	NN
دۄہ	NN
راتھ	NN
تِہ	RP
کرِ	VM
تٔمۍ	PRP
سٕنٛزِ	PSP
عبادَتِھ	NN
توتہِ	RB
وَسنَس	VM
نہٕ	NEG
نَکھہٕ	NN
تٔمۍ	PRP
سٕنٛد	PSP
احسان	NN
۔	SYM
گوٚبرٕ	NN
وٲلۍ	PSP
سٕنٛدِ	PSP
گَرِ	NN
چھیٚہ	VAUX
اَمہِ	DEM
ساتہٕ	NN
چھکٕر	NN
طَیَس	JJ
پٮ۪ٹھ	PSP
آسان	VM
مگر	CC
یُتھُے	RB
کارِ	NN
ہُند	PSP
صدا	NN
چھُکھ	VAUX
کنَن	NN
گژھان	VM
چھکٕر	NN
چھَکھ	VAUX
مٔشِتھ	NN
گژھان	VM
،تہٕ	CC
چھیٚہ	VAUX
ساریٚے	PRP
زنانہٕ	NN
بٕر	NN	
بٕر	RDP
کران	VM
وَسان	VM
تہٕ	CC
بَڈٕ	INTF
چاوٕ	RB
سان	PSP
مَہریٚنۍ	NN
ہیوٚر	NST
کھاران	VM
راتھ	NN
چھیٚہ	VAUX
آسان	VM
یور	NN
وٲژمٕژ	VM
مہریٚنۍ	NN
تہٕ	CC
مَہرازٕ	NN
تہِ	CC
چُھ	VAUX
آسان	VM
دۄہَس	NN
لٔگٕن	NN
کٔرۍ	VM
کٔرۍ	RDP
سٮ۪ٹھاہ	INTF
تھٔکۍمٕتۍ	JJ
لیٚہازا	CC
چُھ	VAUX
یِہٕند	PRP
آرام	NN
کرنُک	VM
اِنتِظام	NN
یِوان	VAUX
تَتھ	DEM
کمرَس	NN
منز	PSP
کرنہٕ	VM
،یُس	DEM
مہریٚنہِ	NN
تہِ	CC
مہرازٕ	NN
سٕندِ	PSP
شۄنگنہٕ	VM
خٲطرٕ	PSP
برٛۄنہُے	RB
سجاونہٕ	VM
چُھ	VAUX
آسان	VM
آمُت	VM
۔	SYM
مٲنزِراتھ	NNP
یہِ	DEM
دوہ	NN
تہٕ	CC
راتھ	NN
چُھ	VAUX
تِتھَےپٲٹھۍ	RB
مَناونہٕ	VM
یِوان	VAUX
یِتھٕ	RB
پٲٹھۍ	POW
یہِ	DEM
میکھلہ	NN
پٮ۪ٹھ	PSP
چِھ	VAUX
یِوان	VM
مَناونہٕ	VM
۔	SYM
شرٛان	NN
کٔرِتھ	VM
چھیٚہ	VAUX
یِوان	VM
مہریٚنۍ	NN
شیرنہٕ	VM
تہٕ	CC
پٲرنہٕ	VM
عٔطر	NN
تہٕ	CC
فٔلۍلہٕ	NN
چُھس	VAUX
یِوان	VM
مَتھنہٕ	VM
تہٕ	CC
سٲرۍسٕے	JJ
گَرَس	NN
منٛز	PSP
چھیٚہ	VAUX
اَمہِ	DEM
وَقتہٕ	NN
وۄسہٕ	NN
درٛۄسہٕ	RDP
آسان	VM
اَتھ	DEM
موقَس	NN
پٮ۪ٹھ	PSP
تہِ	RP
چھیٚہ	VAUX
وَنوَن	VM
واجنہِ	PSP
وَنوان	VM
ساز	NN
کٔرِتھ	VM
چُھ	VAUX
راتھ	NN
کیُتُے	PSP
مہریٚنہِ	NN
یِوان	VAUX
ترٛنگہ	NN
گنڈنہٕ	VM
۔	SYM
نٲظر	NNP
صٲبن	RP
کٔر	VM
پنٕنۍ	PRP
سٲرٕے	JJ
وٲنس	NN
کٲشر	NNP
زبٲنۍ	NN
خٲطرٕ	PSP
وقف	NN
تہٕ	CC
دۄہ	NN
راتھ	NN
محنت	NN
کٔرِتھ	VM
تہٕ	CC
نم	NN
ژم	NN
گٲلِتھ	VM
شیرٮ۪ن	VM
کٲشِرِ	NNP
شٲعری	NN
تہٕ	CC
ادبہٕ	NN
خٲطرٕ	PSP
روشن	VM
وَتہٕ	NN
۔	SYM
صُبحن	NN
کۄکر	NNC
بانگہِ	NN	
برونٹھے	RB
ٲسۍ	VAUX
ترٛیشوَے	QC
کاربٲجۍ	NN
وۄتھان	VM
تہٕ	CC
کارخانَس	NNP
منٛز	PSP
وَسان	VM
تہٕ	CC
شامہٕ	NN
چٮ۪ن	PSP
ستَن	NN
بَجن	NN
تام	PSP
ٲسۍ	VAUX
کارخانسٕے	NN
منٛز	PSP
روزان	VM
کارخانہٕ	NN
منٛزٕ	PSP
مۄکلِت	VM
ٲسۍ	VAUX
ٲٹۍ	NNC
کٹِھس	NN	
منٛز	PSP
اَژان	VM
تہٕ	CC
رٲژ	NN
ہنٛزَن	PSP
دَہَن	QC
بجَن	NN
تام	PSP
اوٹ	NN
چھانان	VM
اَمہِ	DEM
پتہٕ	RB
کھٮ۪وان	VM
تہٕ	CC
تٔتھۍتھٕے	RB
ڈاف	NN
ترٛاوان	VM
نیٚندرِ	NN
گٲنٹہٕ	NN
جوراہ	QC
کٔرِتھ	VM
بیٚیہِ	CC
وۄتھان	VM
تہٕ	CC
کارخانس	NN
منٛز	PSP
اَژان	VM
تہٕ	CC
کارخانسٕے	NN
منٛز	PSP
راتھ	NN
تہِ	RP
کٹاوان	VM
تہٕ	CC
دۄہ	NN
تہِ۔	RP
گاش	NN
کٔژِ	QW
بَجہِ	RDP
چُھ	VAUX
پھۄلان،	VM
تاپھ	NN
کٔژ	QW
بجِہ	NN
پٮ۪ٹھ	PSP
کٔژن	QW
بجن	NN
تانۍ	PSP
چُھ	VAUX
آسان،	VM
دۄہ	NN
کر	WQ
چُھ	VAUX
لوسان،	VM
شام	NN
کر	WQ
چُھ	VAUX
گژھان،	VM
یِمَن	DEM
سارِنٕے	PRP
چیٖزن	NN
ہٕنٛز	PSP
ٲس	VAUX
نہٕ	NEG
تِمَن	PRP
خبرٕے	NN
آسان،	VM
۔	SYM
یہِ	DEM
راتھ	NN
کٲژاہ	INTF
زیٖٹھ	JJ
وُنہِ	RB
چھےٚ	VAUX
اکے	QC
بجےمٕژ	VM
اَمہِ	DEM
پتہٕ	RB
بجِہ	NN
ڈۄڈ	QC
تَمِہ	DEM
پَتہٕ	RB
زٕ	QC
تَمہِ	DEM
پَتہٕ	RB
سوادٕ	QC
زٕ	QC	
یہِ	DEM
چُھ	VAUX
اکھ	QC
زیوٗٹھ	JJ
سِلسلہ	NN
۔	SYM
یہِ	DEM
سڑک	NN
ٲس	VAUX
تَمہِ	DEM
وِزِ	NN
بند	JJ 
سپدان	VM
ییٚلہِ	RB
مہراج	NNP
صٲبس	RP
کن	PRP
گژھُن	VM
آسہِ	VAUX
راتھ	RB
تہِ	RP
اوس	VAUX
سڑکہِ	NNP
دۄشوٕے	PRP 
طرفہٕ	NN
پُلسیُک	NN
زبردس	JJ
پہر	NN
۔	SYM
یوٗت	INTF
وق	NN
کر	QW	
سورِ	VM
یہِ	DEM
راتھ	NN
شاہمار	JJ
راتھ	NN
گَٹہٕ	JJ	
میون	PRP
شاہ	NN
ہیوٚتُن	VM
ژھۄکن	VM
۔	SYM
یٛیلہِ	RB
ژۄرِ	QC
وٕہٕرۍ	NN
احمُد	NNP
تہٕ	CC
محمُد	NNP
رِہا	VM
سپٕدۍ	VAUX
تِمن	PRP
ٲس	VAUX
صمدٕنۍ	NNP
زیادے	JJ
فوشان	VM
تِمو	PRP
ٲس	VAUX
صمدِس	NNP
مارنٕچ	VM
ژھونب	NN
سُونچمٕژ	VM
تِم	PRP
ژایہِ	VM
راتھ	NN
کیُتھ	PSP
صمدِس	NNP
گھرٕ	NN
لود	VM
سُہ	PRP
أکس	QC
بٔدِس	JJ
صٔندُوقس	NN
منز	PSP
گٔیہِ	VM
اَتھ	DEM
أکس	QC
دٕرِیاوس	NN
منز	PSP
تراونہِ	VM
۔	SYM
عظم	NNPC
بب	NNP
ییٚلہِ	RB
وأتِتھ	VM
پیٚوو	VM
بٕہ	PRP
وۄٚتُھس	VM
گرٕ	NN
واجنِہ	PSP
کن               RB
وۄنۍ	RB
نیرِ	VM
راتھ	NN
پٔنٛدۍ	RB
۔	SYM
أمۍ	PRP
کوٚر	VM
سٲرۍ	RDP
سٕے	POW
گردِشاہ	NN
اَتہِ	VM
آسہٕ	VAUX
حوٗرٕ	NN
یِمَو	DEM
حوٗرَو	NN
کوٚرُس	VM
واوٕجہِ	NN
واو	NN
کینٛہہ	RB
کالاہ	NN
اَتھ	DEM
جَنتَس	NN
مَنٛز	PSP
روٗزتھ	VM
ژوٚل	VM
أمِس	PRP
راتھ	NN
کیُت	PSP
بِستَرَس	NN
پٮ۪ٹھ	PSP
مٕتھٕر	NN
نیٖرِتھ	VM
صُبحَس	NN
وُچھ	VM
وُچھَن	VM
والٮ۪و	NN
داروغَن	NN
اَتھِ	PSP
آو	VAUX
یہِ	DEM
اَمہِ	DEM
جَنتہٕ	VM
مَنٛزٕ	PSP
کھَکھرِ	NN
کڑنہٕ	VM
۔                  SYM
اَکہِ	QC
شَبہٕ	NN
ٲسۍ	VAUX
تِم	PRP
دۄنوَے	PRP
بٲژ	NN
مَس	NN
نیٚندرِ،	VM
پادشاہس	NN
گو	VAUX
کنَن	NN
ترٛیٚیہِ	VM
پھِرِ	NN
آلَو،	VM
اَز	RB
یِما	NN
کنہٕ	CC
پگاہ	RB
یِمہٕ؟	NEG
پگاہ	RB
گو	VAUX
أمِس	PRP
رٲژ	NN
ہُنٛد	PSP
آلَو	NN
مَشرَپھ	VM
دۄہ	NN
گَو	VM
اَدا،	NNP
راتھ	NN
آیہِ                VM
اَز	JJ
رٲژ	NN
مَنٛز	PSP
گوس	VM
بیٚیہِ	CC
ترٛیٚیہِ	DEM
پھِرِ	NN
آلَو	NN
‘‘اَز	PSP
یِما	NN
کنہٕ	CC
پَگاہ	RB
یِمہٕ؟’’	VM
پادشاہ	NN
گٔژھۍ	RDP
تَن	POW
غۄطَن	NN
،زانہِ	VM
دَے	NNP
کیٛاہ	WQ
آسہِ	VAUX
ڈیشُن            VM
نیٚنٛدراہ	NN
وۄنۍ	RB
آیَس	VM
نہٕ	NEG
کینٛہہ	PRP
۔	SYM
أمی	DEM
سٕندو	NN
قدمو	NN
واتنوو	VM
سُہ	PRP
أكِس	QC
عاٲلیشان	JJ
ہوٹلس	NN
منز	PSP
یی٘تہِ	RB
تٔم	NN
پنُن	PRP
من	NN
پسند	JJ
كھن	NN
چن	PSP
كھتھ	VM
یَڑ	NN
بٔر	VM
پتہٕ	RB
گُزارٕن	VM
مٲرمٔند	NN
خاب	NN
وُچھان	VM
وُچھان	VM
تٔتھ	NN
جایہِ	NN
راتھ	NN
یی٘تہِ	CC
اَمہِ	DEM
بروٗنٛہِم	RB
راتھ	NN
گزاٲر	NN
مٕژ	VM
ٲسٕن	VM
۔	SYM
﻿تٔمۍ	PRP
سُند	PSP
توجہ	NN
پھُیٛر	NN
مسجِد	NN
دروازس	NN
أندۍ	RB
پٔکھۍ	POW
بیچھہٕ	VM
وٕنٮ۪ن	PRP
ہٕنزِ	PSP
بِرٕبار	NN
پانس	PRP
کن	PSP
یِم	PRP
پنہٕ	PRP
نٮ۪ن	POW
پنہٕ	PRP
نٮ۪ن	POW
جاین	NN
تِتھہٕ	RB
کٔنۍ	POW
بِہتھ	VM
ٲسۍ	VAUX
زنتہٕ	CC
آسہٕ	VAUX
تِم	PRP
تِہنزٕ	PRP
وراثتی	JJ
جایہِ	NN
تٔمۍ	PRP
دِژ	VM
تتھ	DEM
کوٗنس	NN
کن	PSP
نظر	NN
ییٚتہِ	RB
نس	POW
تٔمۍ	PRP
راتھ	NN
آرام	NN
اوس	VAUX
کوٚرمُت	VM
،	NNP
کوٗن	NN
اوس	VAUX
خٲلی	VM
۔	SYM
1250ھ	QC	
منٛز	PSP
آو	VM
کرنل	NNPC
میاں	NNPC	
سنگھ	NNP
کٔشیرِ	NNP
ہُنٛد	PSP
حٲکم	NN
بٔنِتھ	VM
ییٚلہِ	RB
سُہ	PRP
شیر	NNP
گڑِ	NN	
ووت،	VM
راتھ	NN
کیُت	PSP
کھوٚت	VM
مکانہٕ	NN
کس	PSP
پشس	NN
پٮ۪ٹھ،	PSP
اَتہِ	RB
وُچھ	VM
نہٕ	NEG
تٔمۍ	PRP
شہرس	NN
منٛز	PSP
کنہِ	PRP
تہِ	RP
جایہِ	NN
ژٲنگۍ	NN
گاشاہ	NN
دزان	VM
تہٕ	CC
نَہ	NEG
بوٗزٕن	VM	
صحبٕچ	NN
کانٛہہ	PRP
کۄکر	NN
بانگٕے	NN
۔	SYM
مہاراجِہ	NN
ٲس	VAUX
وَنہٕمالِہ	NNP
ہنٛز	PSP
کوٗر	NN
یہے	PSP
سادٕ	JJ
ادوار	JJ	
گاڈ	NN	
ہش	PSP	
پنٕہ	NN	
پنٕہ	RDP	
کران	VM
یُتُے	DEM
یوت	RB
نہٕ	NEG
سُہ	PRP
اوس	VAUX
ژوٗر،	RB
ژھیٚپہِ	RDP
راتھ	NN
کیُت	PSP
یا	CC
ٲٹۍ	NN
کٹِھس	NN
منز	PSP
اوٹ	NN
چھاننہٕ	VM
وِزِ	NN
تِمَن	PRP
پَراران	VM
تہٕ	CC
نَیے	JJ
نَیَے	RDP
کتھٕ	NN
ونان	VM
۔	SYM
